glacier,surface
1331.99268,1331.81864
1331.98792,1331.81864
1331.72571,1328.06641
1331.94507,1326.26400
1331.85120,1326.26400
1332.92786,1325.67085
1334.47815,1325.67085
1335.55554,1325.67085
1336.12756,1324.21977
1337.44067,1324.21977
1338.85449,1324.21977
1340.25183,1326.38867
1341.80835,1326.38867
1342.34814,1327.84985
1343.86987,1324.48715
1345.49023,1324.48715
1347.11084,1323.37168
1348.86609,1323.37168
1350.12036,1323.37168
1351.07849,1319.92639
1352.71790,1319.92639
1354.31702,1317.99512
1356.11292,1314.53903
1357.35413,1314.53903
1358.98511,1313.68314
1359.88538,1313.68314
1361.35156,1313.68314
1362.97827,1313.63900
1364.29602,1313.63900
1365.91321,1313.63900
1366.77380,1314.47526
1368.36365,1314.47526
1369.98840,1314.47526
1371.24780,1317.29236
1372.89478,1317.29236
1374.44861,1322.07524
1375.30701,1322.07524
1376.96716,1322.07524
1378.28296,1327.49191
1379.83630,1327.65457
1381.38037,1327.65457
1382.93152,1333.31857
1383.82678,1333.31857
1385.20178,1333.31857
1386.82178,1336.38654
1388.36157,1336.38654
1389.80396,1337.82364
1390.70959,1337.82364
1392.00830,1337.82364
1393.54468,1341.08109
1395.14807,1341.08109
1396.61279,1341.08109
1397.95813,1343.14827
1398.66272,1343.14827
1400.26135,1343.14827
1401.64905,1346.64771
1403.09521,1346.64771
1404.58667,1350.01740
1405.84119,1349.51050
1406.66614,1349.51050
1407.92395,1351.72128
1409.31531,1351.72128
1410.70239,1351.72128
1411.79688,1354.35758
1413.14758,1354.31183
1413.81262,1354.31183
1415.03955,1357.13399
1416.32910,1357.13399
1417.43945,1360.45499
1418.68140,1360.45499
1419.24792,1360.45499
1420.47327,1364.90133
1421.59131,1364.90133
1422.60986,1364.90133
1423.77954,1367.95337
1424.88428,1367.95337
1425.44067,1369.59387
1426.48865,1369.49886
1427.36023,1369.49886
1428.40710,1371.38550
1429.47705,1371.38550
1430.46509,1371.38550
1430.92249,1372.60666
1431.78259,1372.01358
1432.63586,1372.01358
1433.61633,1373.09543
1434.49146,1373.09543
1434.99756,1373.00067
1435.72290,1373.00067
1436.61804,1372.67908
1437.50842,1372.19385
1438.45068,1372.19385
1439.17432,1372.19385
1439.54248,1371.58151
1440.32092,1371.58151
1441.12622,1371.58151
1442.03174,1371.64983
1442.73865,1371.64983
1443.59778,1373.33325
1444.01453,1373.33325
1444.71826,1373.33325
1445.58936,1375.70536
1446.56799,1376.40837
1447.10889,1376.40837
1447.45203,1378.48137
1448.58875,1378.48137
1449.27966,1378.48137
1449.98389,1378.59412
1450.70068,1379.82239
1451.45313,1379.14926
1451.96606,1379.14926
1452.80481,1379.14926
1453.69666,1378.92166
1454.47119,1378.92166
1455.33582,1379.21143
1456.22095,1380.08236
1456.64722,1380.08236
1457.60681,1380.08236
1458.46118,1383.32306
1459.43787,1383.32306
1460.37744,1386.79019
1461.32104,1385.49369
1461.88245,1385.49369
1462.71985,1388.75212
1463.76050,1388.75212
1464.79688,1388.75212
1465.83777,1392.11300
1466.40759,1391.73276
1467.35547,1391.73276
1468.43994,1395.01156
1469.46240,1395.01156
1470.58228,1398.33720
1471.69189,1398.33720
1472.18127,1399.52116
1473.24011,1404.18778
1474.32251,1404.18778
1475.52588,1404.18778
1476.61707,1411.35898
1477.75439,1411.35898
1478.35229,1413.87618
1479.46619,1421.50411
1480.59509,1421.50411
1481.64185,1427.13493
1482.77930,1427.13493
1483.27380,1427.13493
1484.37134,1436.17729
1485.60718,1436.17729
1486.78613,1436.17729
1487.93872,1441.92734
1488.93958,1441.92734
1489.52332,1445.96075
1490.57813,1445.96075
1491.60181,1444.88250
1492.80066,1448.88132
1493.96497,1448.88132
1495.02783,1448.88132
1495.31116,1454.71627
1496.29492,1454.71627
1497.42188,1453.11312
1498.35669,1457.84367
1499.36011,1457.84367
1500.26025,1466.26152
1500.66724,1466.26152
1501.65515,1466.26152
1502.46716,1470.62720
1503.19666,1470.62720
1504.10474,1470.62720
1504.42004,1472.79960
1505.33118,1472.79960
1505.93213,1472.79960
1506.48975,1472.46606
1507.04175,1472.46606
1507.69165,1474.06985
1508.09460,1474.06985
1508.43835,1474.06985
1508.94153,1475.01138
1509.27783,1475.01138
1509.72595,1471.69669
1510.32373,1471.57625
1510.30420,1471.57625
1510.39465,1471.57625
1510.67847,1472.36458
1510.83838,1472.36458
1511.25891,1467.55867
1511.16431,1467.55867
1511.24646,1467.55867
1511.32483,1464.32190
1511.39795,1464.32190
1511.27710,1464.32190
1511.67737,1458.51648
1511.46497,1458.51648
1511.26843,1458.51648
1511.22522,1455.91377
1511.25525,1455.91377
1511.35693,1454.18237
1511.25391,1454.00069
1511.17029,1454.00069
1511.50623,1453.60942
1511.78418,1453.60942
1511.91492,1453.60942
1512.35339,1454.30790
1512.59045,1454.30790
1513.11829,1454.36666
1513.57288,1456.66968
1514.02686,1456.66968
1514.53503,1460.94739
1515.13684,1460.94739
1515.48328,1460.94739
1516.45325,1467.63920
1517.32678,1467.63920
1518.40808,1467.63920
1519.90869,1477.44230
1521.53369,1477.44230
1522.66089,1477.44230
1524.42859,1485.25745
1526.87976,1485.25745
1527.77319,1497.73682
1532.36792,1497.73682
1535.33130,1497.73682
1536.66821,1516.18262
1540.00146,1517.05527
1543.56873,1517.05527
1548.05200,1534.38538
1553.15454,1534.38538
1555.22253,1558.00494
1561.73389,1558.00494
1567.37488,1558.00494
1576.26514,1585.81644
1584.58008,1585.81644
1592.18958,1585.81644
1597.52002,1612.31354
1606.88062,1612.31354
1617.41541,1612.31354
1627.10974,1645.05204
