Easting,Northing,fuffens,r,g,b,Name
654385.3300605305,7556687.217671881,1326.8058704765624,248,57,4,1
654364.9931013867,7556683.457153921,1331.0173853989259,248,57,4,1
654344.3956227971,7556679.606228872,1334.9375212324221,248,57,4,1
654323.7416312866,7556675.705251855,1338.8740422552085,248,57,4,1
654302.9986262312,7556671.770996577,1343.0147140810548,248,57,4,1
654282.3714938961,7556667.712775496,1346.3990010966795,248,57,4,1
654261.7403796086,7556663.720034213,1349.7354948017578,248,57,4,1
654241.1622612652,7556659.543348775,1352.4127871894532,248,57,4,1
654220.547919915,7556655.03689833,1355.116865546875,248,57,4,1
654199.5972108529,7556650.3043853985,1357.980503729492,248,57,4,1
654178.3617381302,7556645.302104135,1361.231889421875,248,57,4,1
654156.9336907002,7556639.951322118,1363.8413034785158,248,57,4,1
654135.4063250562,7556634.388729988,1366.4209237747395,248,57,4,1
654113.6899829169,7556628.534049005,1368.2532903544925,248,57,4,1
654092.0575285406,7556622.562844749,1370.2195830546875,248,57,4,1
654070.4846908245,7556616.529845611,1371.8063036445312,248,57,4,1
654048.6519154165,7556610.687472364,1372.9156914912107,248,57,4,1
654026.7226310014,7556605.11108328,1374.0121115913087,248,57,4,1
654004.6799286589,7556600.024401073,1374.0215243414716,248,57,4,1
653982.4040359521,7556595.382806671,1374.1553188447267,248,57,4,1
653960.0159552889,7556590.744046474,1373.9207138730471,248,57,4,1
653937.7775349182,7556585.53384666,1374.628009834961,248,57,4,1
653915.8701930804,7556579.81927579,1374.996299486328,248,57,4,1
653894.7227755149,7556574.3845477635,1375.171692001367,248,57,4,1
653874.0903532093,7556569.58020525,1375.4557890521485,248,57,4,1
653854.099046997,7556565.170287442,1375.3204095397134,248,57,4,1
653834.6033180967,7556560.780866163,1375.0083341595052,248,57,4,1
653815.3391632349,7556555.328522935,1374.7043826881977,248,57,4,1
653796.4040589748,7556547.302043311,1374.4723161659226,248,57,4,1
