Easting,Northing,glacier,r,g,b,Name
654751.1915508336,7556778.437952112,1337.0606689453125,56,57,255,1
654730.5168243373,7556773.155733418,1339.91064453125,56,57,255,1
654709.7804035422,7556768.431856208,1342.845458984375,56,57,255,1
654689.0715802527,7556763.887750225,1345.42333984375,56,57,255,1
654668.2418043023,7556759.3178044725,1349.0537109375,56,57,255,1
654647.3137911159,7556754.751478232,1352.0130615234375,56,57,255,1
654626.6650355443,7556749.555960141,1354.929931640625,56,57,255,1
654606.3331937459,7556743.686709427,1358.0205078125,56,57,255,1
654586.0886391681,7556737.644944468,1360.9578857421875,56,57,255,1
654566.0259420951,7556731.370806128,1363.748291015625,56,57,255,1
654546.2198784057,7556724.784504453,1366.6845703125,56,57,255,1
654526.0443191706,7556718.522634703,1369.83349609375,56,57,255,1
654505.7637846607,7556712.666660562,1372.6466064453125,56,57,255,1
654485.5208912565,7556707.346901338,1375.6409912109375,56,57,255,1
654465.4672525253,7556702.544398787,1378.4952392578125,56,57,255,1
654445.4978117025,7556698.028068762,1381.3382568359375,56,57,255,1
654425.4587743535,7556694.144507794,1384.0504150390625,56,57,255,1
654405.4768686128,7556690.648511651,1386.9744873046875,56,57,255,1
654385.3300605305,7556687.217671881,1389.8160400390625,56,57,255,1
654364.9931013867,7556683.457153921,1392.699462890625,56,57,255,1
654344.3956227971,7556679.606228872,1395.2967529296875,56,57,255,1
654323.7416312866,7556675.705251855,1398.1544189453125,56,57,255,1
654302.9986262312,7556671.770996577,1401.5723876953125,56,57,255,1
654282.3714938961,7556667.712775496,1404.2830810546875,56,57,255,1
654261.7403796086,7556663.720034213,1406.9525146484375,56,57,255,1
654241.1622612652,7556659.543348775,1409.3153076171875,56,57,255,1
654220.547919915,7556655.03689833,1411.796875,56,57,255,1
654199.5972108529,7556650.3043853985,1414.3095703125,56,57,255,1
654178.3617381302,7556645.302104135,1417.209716796875,56,57,255,1
654156.9336907002,7556639.951322118,1419.4630126953125,56,57,255,1
654135.4063250562,7556634.388729988,1421.7154541015625,56,57,255,1
654113.6899829169,7556628.534049005,1423.9202880859375,56,57,255,1
654092.0575285406,7556622.562844749,1426.3812255859375,56,57,255,1
654070.4846908245,7556616.529845611,1428.4451904296875,56,57,255,1
654048.6519154165,7556610.687472364,1430.135986328125,56,57,255,1
654026.7226310014,7556605.11108328,1432.2864990234375,56,57,255,1
654004.6799286589,7556600.024401073,1434.09619140625,56,57,255,1
653982.4040359521,7556595.382806671,1436.128662109375,56,57,255,1
653960.0159552889,7556590.744046474,1437.5386962890625,56,57,255,1
653937.7775349182,7556585.53384666,1439.4908447265625,56,57,255,1
653915.8701930804,7556579.81927579,1440.919677734375,56,57,255,1
653894.7227755149,7556574.3845477635,1442.2923583984375,56,57,255,1
653874.0903532093,7556569.58020525,1443.8250732421875,56,57,255,1
653854.099046997,7556565.170287442,1445.208984375,56,57,255,1
653834.6033180967,7556560.780866163,1446.59033203125,56,57,255,1
653815.3391632349,7556555.328522935,1448.0931396484375,56,57,255,1
653796.4040589748,7556547.302043311,1449.73291015625,56,57,255,1
653777.9567692985,7556535.56843889,1451.3951416015625,56,57,255,1
653761.1843319117,7556519.936574533,1452.9971923828125,56,57,255,1
653746.2367638475,7556500.2374708615,1454.8212890625,56,57,255,1
653734.2412429224,7556477.222194518,1456.33203125,56,57,255,1
653728.060625201,7556450.472106532,1457.746337890625,56,57,255,1
653727.3880272896,7556420.614941189,1458.3779296875,56,57,255,1
653729.5468709385,7556390.571406637,1458.6099853515625,56,57,255,1
653737.6182856289,7556360.254390568,1459.2105712890625,56,57,255,1
653753.0136893722,7556331.050108149,1459.1204833984375,56,57,255,1
653778.4392449027,7556306.098652513,1458.142333984375,56,57,255,1
653806.7562504674,7556285.871787555,1456.32373046875,56,57,255,1
653836.4086488518,7556267.953958985,1454.47802734375,56,57,255,1
653858.3558207225,7556255.877242862,1453.0836181640625,56,57,255,1
653920.0239587761,7556250.825779933,1448.1295166015625,56,57,255,1
653960.3533404347,7556247.287148115,1445.3712158203125,56,57,255,1
653999.8337782804,7556245.94576988,1442.314453125,56,57,255,1
654041.1348286425,7556247.91690846,1439.3673095703125,56,57,255,1
654082.1420886858,7556252.802228416,1436.21484375,56,57,255,1
654124.1887311081,7556259.726546178,1432.142578125,56,57,255,1
654167.0451103558,7556267.908213159,1428.8238525390625,56,57,255,1
654210.585455291,7556277.517656805,1424.7877197265625,56,57,255,1
654254.5138606378,7556288.003353108,1420.4674072265625,56,57,255,1
654299.365406098,7556298.554658452,1415.9561767578125,56,57,255,1
654345.0399577874,7556309.09066961,1410.57421875,56,57,255,1
654407.479521405,7556322.367910903,1404.420166015625,56,57,255,1
654447.2717856874,7556330.590535686,1399.6153564453125,56,57,255,1
654487.0640499699,7556338.813160472,1394.603271484375,56,57,255,1
654535.5693994354,7556347.415852376,1389.4566650390625,56,57,255,1
654597.6033548997,7556911.390982341,1348.8486328125,56,57,255,1
654571.9027244432,7556908.65427266,1352.1805419921875,56,57,255,1
654546.1323369243,7556905.913612854,1355.148681640625,56,57,255,1
654520.2027973916,7556903.2011093125,1358.390625,56,57,255,1
654494.4318905586,7556900.526503622,1361.450927734375,56,57,255,1
654469.0111158447,7556897.788948644,1364.9501953125,56,57,255,1
654443.5917844133,7556895.2015598975,1367.89599609375,56,57,255,1
654418.3577722413,7556892.906517773,1371.9708251953125,56,57,255,1
654393.3340498304,7556890.895955083,1375.143310546875,56,57,255,1
654368.4983504125,7556889.074866305,1378.2822265625,56,57,255,1
654344.0106734503,7556887.2843137365,1381.260498046875,56,57,255,1
654319.6882642616,7556885.363456149,1384.3875732421875,56,57,255,1
654295.6633421293,7556883.207849633,1387.977294921875,56,57,255,1
654272.0560373247,7556881.030749175,1391.10107421875,56,57,255,1
654248.7006295032,7556879.0281986315,1393.438232421875,56,57,255,1
654225.648921626,7556876.9785437975,1396.9373779296875,56,57,255,1
654202.7184625877,7556874.599258533,1399.7269287109375,56,57,255,1
654179.8759371263,7556871.804042682,1402.3375244140625,56,57,255,1
654157.3173663685,7556868.707674747,1405.48193359375,56,57,255,1
654134.5502117551,7556865.355514248,1407.4959716796875,56,57,255,1
654111.7226823183,7556861.784539677,1410.4759521484375,56,57,255,1
654088.9186977778,7556858.112173844,1412.8245849609375,56,57,255,1
654066.2728824604,7556854.018737209,1415.0294189453125,56,57,255,1
654043.7954423068,7556849.392443122,1417.2657470703125,56,57,255,1
654021.3843419148,7556844.592407874,1419.7635498046875,56,57,255,1
653999.157118508,7556839.70059128,1421.877685546875,56,57,255,1
653977.0264413711,7556834.889673542,1424.161376953125,56,57,255,1
653954.9813012035,7556830.168365579,1426.196533203125,56,57,255,1
653933.1317385201,7556825.393416791,1428.4449462890625,56,57,255,1
653911.2108807963,7556820.464562234,1430.364013671875,56,57,255,1
653889.0890409088,7556815.327196314,1432.1119384765625,56,57,255,1
653867.0573364461,7556810.260965412,1434.143798828125,56,57,255,1
653844.6459956601,7556805.106644537,1435.7899169921875,56,57,255,1
653822.0201436013,7556799.677456412,1437.8076171875,56,57,255,1
653799.1270598515,7556794.035809288,1439.38037109375,56,57,255,1
653776.2351890681,7556787.963680662,1441.4757080078125,56,57,255,1
653753.4815139557,7556780.926115213,1443.23291015625,56,57,255,1
653731.2074777264,7556771.894709341,1445.1651611328125,56,57,255,1
653709.452034594,7556759.69186735,1447.234375,56,57,255,1
653688.8519628139,7556744.37439805,1449.6640625,56,57,255,1
653670.0671171626,7556725.438644019,1452.592529296875,56,57,255,1
653654.1371924265,7556702.815675778,1455.5316162109375,56,57,255,1
653641.437135115,7556677.08037228,1458.48486328125,56,57,255,1
653632.6716231868,7556648.677541247,1460.8096923828125,56,57,255,1
653628.2656476024,7556617.932205499,1462.689208984375,56,57,255,1
653628.091418314,7556585.754443515,1463.9091796875,56,57,255,1
653631.9122564871,7556552.710656939,1464.4306640625,56,57,255,1
653639.5927341214,7556519.429576223,1464.084228515625,56,57,255,1
653650.9244531961,7556486.882004669,1463.765869140625,56,57,255,1
653666.1204841706,7556455.661360097,1462.957275390625,56,57,255,1
653685.7522048107,7556425.811258665,1461.7469482421875,56,57,255,1
653711.0318892824,7556396.898655144,1460.182861328125,56,57,255,1
653739.1127774302,7556370.186067822,1458.420166015625,56,57,255,1
653770.5130311779,7556345.610964552,1457.07373046875,56,57,255,1
653804.7290178975,7556323.461706279,1455.4530029296875,56,57,255,1
653841.3127246292,7556303.97378654,1453.26611328125,56,57,255,1
653880.0392614675,7556287.161911503,1450.479736328125,56,57,255,1
653920.4951813299,7556272.917130168,1447.4891357421875,56,57,255,1
653962.4321042083,7556261.411935467,1444.6058349609375,56,57,255,1
654005.4120090511,7556253.238214731,1441.634765625,56,57,255,1
654049.5461967046,7556248.346497867,1438.70263671875,56,57,255,1
654094.7541079922,7556246.385550942,1435.5194091796875,56,57,255,1
654140.5427546706,7556247.054271458,1432.2615966796875,56,57,255,1
654186.4149907101,7556250.528875687,1428.927001953125,56,57,255,1
654232.5185490258,7556256.153349278,1424.930908203125,56,57,255,1
654278.94136918,7556262.7530380385,1421.645263671875,56,57,255,1
654325.7259401247,7556269.852921791,1417.432373046875,56,57,255,1
654372.6695631085,7556277.506399336,1412.63623046875,56,57,255,1
654419.664741687,7556285.46351111,1408.9578857421875,56,57,255,1
654466.846263336,7556293.170496518,1405.90185546875,56,57,255,1
654514.3807853949,7556300.300257186,1402.884521484375,56,57,255,1
654780.5882709429,7556743.330929439,1335.310791015625,56,57,255,1
654755.7970709981,7556737.435163974,1338.539794921875,56,57,255,1
654731.3560841468,7556731.532649206,1341.876220703125,56,57,255,1
654707.1428455473,7556725.681557946,1345.2607421875,56,57,255,1
654683.1119220076,7556719.822947921,1348.802734375,56,57,255,1
654659.4372712581,7556713.508428968,1351.818359375,56,57,255,1
654635.8193011703,7556706.832313652,1355.404052734375,56,57,255,1
654611.8662924435,7556699.733563806,1358.9898681640625,56,57,255,1
