Easting,Northing,mark,r,g,b,Name
655094.6689637671,7556851.9991613375,1310.4403581218062,190,121,74,1
655094.9761349985,7556851.605650627,1311.1139910124311,190,121,74,1
655095.494685696,7556851.477771921,1311.5960027995407,190,121,74,1
655096.0975250069,7556851.69212508,1313.7096554655561,190,121,74,1
655096.3843251865,7556852.215154201,1312.9432488932905,190,121,74,1
655096.5363348982,7556852.421000654,1311.9852998014935,190,121,74,1
655096.247111919,7556853.096536295,1310.5472916569624,190,121,74,1
655095.39984944,7556853.279483997,1310.2609442936812,190,121,74,1
655093.3083668171,7556853.555840074,1309.494537164775,190,121,74,1
655090.5667637957,7556853.184210093,1313.888053512431,190,121,74,1
655086.533012477,7556853.062301181,1314.9310516276655,190,121,74,1
655081.2211392984,7556852.61035921,1315.189450592509,190,121,74,1
655074.9446871344,7556851.734919477,1315.4577902897747,190,121,74,1
655067.6607265035,7556850.161841076,1316.1961881120405,190,121,74,1
655059.0224609021,7556848.535095689,1315.799186227275,190,121,74,1
655049.3423087997,7556846.779901353,1318.282184322978,190,121,74,1
655038.6916716419,7556844.872493006,1318.0605832878216,190,121,74,1
655027.5272325113,7556842.840467841,1316.349616168681,190,121,74,1
655015.5216367885,7556840.542307853,1316.1428969694625,190,121,74,1
655002.8480949714,7556837.716904265,1316.1799673796186,190,121,74,1
654989.0132301461,7556834.596711498,1318.3625264128218,190,121,74,1
654973.9875374375,7556831.554547243,1319.5850847233685,190,121,74,1
654958.0489092225,7556828.391825623,1319.1421349968061,190,121,74,1
654941.3146335239,7556825.078190433,1321.087623668681,190,121,74,1
654924.0937611025,7556821.304506652,1321.4352799382125,190,121,74,1
654906.2147656758,7556817.303947248,1320.9532873991498,190,121,74,1
654887.8889365762,7556813.2859240165,1319.5213548014935,190,121,74,1
654869.3992108027,7556809.258138278,1318.5593773210248,190,121,74,1
654850.8095874611,7556804.971624938,1319.037428903056,190,121,74,1
654831.7669529363,7556800.189682804,1318.6442429997358,190,121,74,1
654812.3830781933,7556795.031448564,1316.5313392595012,190,121,74,1
654792.3248443761,7556789.682873819,1313.9041971239371,190,121,74,1
654771.8925134841,7556784.096512237,1312.2328227382836,190,121,74,1
654751.1915508336,7556778.437952112,1324.8671578774415,190,121,74,1
654730.5168243373,7556773.155733418,1323.4024165468752,190,121,74,1
654709.7804035422,7556768.431856208,1322.5647653016492,190,121,74,1
654689.0715802527,7556763.887750225,1321.7491018759765,190,121,74,1
654668.2418043023,7556759.3178044725,1321.9885815129123,190,121,74,1
654647.3137911159,7556754.751478232,1321.6045821289065,190,121,74,1
654626.6650355443,7556749.555960141,1321.3561606003418,190,121,74,1
654606.3331937459,7556743.686709427,1321.2335037992625,190,121,74,1
654586.0886391681,7556737.644944468,1320.7800316266275,190,121,74,1
654566.0259420951,7556731.370806128,1320.1795491066625,190,121,74,1
654546.2198784057,7556724.784504453,1319.7205515480684,190,121,74,1
654526.0443191706,7556718.522634703,1319.2989865642578,190,121,74,1
654505.7637846607,7556712.666660562,1318.6618455843095,190,121,74,1
654485.5208912565,7556707.346901338,1318.423847514757,190,121,74,1
654465.4672525253,7556702.544398787,1317.86752893125,190,121,74,1
654445.4978117025,7556698.028068762,1317.2923164697265,190,121,74,1
654425.4587743535,7556694.144507794,1316.5862141560547,190,121,74,1
654405.4768686128,7556690.648511651,1316.0921468911674,190,121,74,1
654385.3300605305,7556687.217671881,1315.6964384083115,190,121,74,1
654364.9931013867,7556683.457153921,1315.2071197988282,190,121,74,1
654344.3956227971,7556679.606228872,1314.6250955993648,190,121,74,1
654041.1348286425,7556247.91690846,1355.360182538607,190,121,74,1
654082.1420886858,7556252.802228416,1357.8001767939454,190,121,74,1
654124.1887311081,7556259.726546178,1361.0281523524575,190,121,74,1
654167.0451103558,7556267.908213159,1365.9789690332495,190,121,74,1
654210.585455291,7556277.517656805,1368.5035249091795,190,121,74,1
654254.5138606378,7556288.003353108,1369.6163242904574,190,121,74,1
654299.365406098,7556298.554658452,1370.1813527098213,190,121,74,1
654345.0399577874,7556309.09066961,1370.8914766534745,190,121,74,1
654407.479521405,7556322.367910903,1372.680327755445,190,121,74,1
654447.2717856874,7556330.590535686,1376.5449239195825,190,121,74,1
654487.0640499699,7556338.813160472,1378.8223355886066,190,121,74,1
654535.5693994354,7556347.415852376,1378.653215109375,190,121,74,1
654584.6975118172,7556354.970657645,1387.503721575286,190,121,74,1
654634.6208108675,7556360.242448443,1394.4799880241494,190,121,74,1
654685.0714908894,7556362.915457413,1397.3745960612594,190,121,74,1
654736.7730352986,7556362.658719845,1390.7233278796186,190,121,74,1
654788.3209104711,7556361.063933026,1384.3470529264935,190,121,74,1
654839.728358236,7556358.028890216,1377.3851948174738,190,121,74,1
654891.022867175,7556354.491701974,1368.03059664986,190,121,74,1
654942.1428485591,7556350.139616023,1359.8019985514936,190,121,74,1
654992.8768879278,7556344.99731074,1351.9115082110918,190,121,74,1
655043.0109681713,7556339.248514777,1346.7727709036142,190,121,74,1
655092.5672661188,7556332.931981535,1345.31145208944,190,121,74,1
655141.6831349364,7556326.1496125525,1346.1368321745406,190,121,74,1
655190.6879516025,7556319.47384884,1353.0873115131412,190,121,74,1
655239.616273468,7556312.738174908,1361.9628181160615,190,121,74,1
655288.1625459808,7556305.671257421,1366.1106542253215,190,121,74,1
655336.3904110284,7556298.436147897,1364.7325263102825,190,121,74,1
655384.4663118131,7556291.173989876,1361.726668541728,190,121,74,1
655435.5537674853,7556283.945143106,1359.300398903056,190,121,74,1
655480.8760884735,7556278.072695316,1359.726272574931,190,121,74,1
655530.2227740745,7556269.204423493,1359.3568415007123,190,121,74,1
655577.6035821477,7556262.465594219,1357.8476638444622,190,121,74,1
655629.1316731154,7556260.755127631,1355.3466354460247,190,121,74,1
655673.5793036364,7556260.789201847,1354.4005140671186,190,121,74,1
655718.0416686436,7556264.44923488,1357.7398696452435,190,121,74,1
655759.6527032236,7556274.267926446,1361.8625449284468,190,121,74,1
655798.9789197659,7556288.22856915,1365.2012180358686,190,121,74,1
655834.9604705735,7556305.742319835,1366.9408636491498,190,121,74,1
655868.5284525324,7556326.63141181,1365.9541474968062,190,121,74,1
655896.7758411338,7556350.64437384,1363.338814889384,190,121,74,1
655920.5699384643,7556376.869080357,1359.6579568620405,190,121,74,1
655939.930537636,7556404.922620097,1355.6507719387705,190,121,74,1
655954.9047195154,7556434.376956116,1351.6345175163374,190,121,74,1
655964.6953749745,7556465.221056097,1349.091451071025,190,121,74,1
655967.6269037103,7556496.294800069,1347.4900858561812,190,121,74,1
655965.5597038885,7556527.392749274,1345.9187941764935,190,121,74,1
655957.2651623625,7556557.428831025,1345.158933307353,190,121,74,1
655946.2092475361,7556585.63021832,1344.7763162077435,190,121,74,1
655931.8805045822,7556611.834801253,1345.4877393718061,190,121,74,1
655915.5170598209,7556635.996030563,1346.9969230046186,190,121,74,1
655896.5475812817,7556657.957514953,1348.5172318522748,190,121,74,1
655874.3888218027,7556677.009632821,1350.8094214538373,190,121,74,1
655850.7986709218,7556693.015643386,1353.4597622575486,190,121,74,1
655827.086337287,7556706.888560547,1356.1202435827436,190,121,74,1
655802.7438486132,7556719.2718290975,1358.7674761491498,190,121,74,1
655778.5243275831,7556731.016589935,1359.0040492350872,190,121,74,1
655753.7932430498,7556742.4308381565,1358.0512183171186,190,121,74,1
655728.1917288648,7556752.91220649,1356.6215323796187,190,121,74,1
655702.3874478104,7556762.182777218,1355.0986813444624,190,121,74,1
655677.0301631186,7556771.47133128,1354.5275824382124,190,121,74,1
655650.5734950266,7556781.236653505,1356.0160594303998,190,121,74,1
655624.0216998956,7556790.612496575,1357.5898902897748,190,121,74,1
655595.5512157062,7556800.012807574,1359.8787980358686,190,121,74,1
655570.658873491,7556808.225455318,1370.2289588744568,190,121,74,1
655544.7285054461,7556818.1548121525,1384.309921534892,190,121,74,1
655516.9072557229,7556827.014643863,1390.4939418864544,190,121,74,1
655491.5931543715,7556837.98389166,1393.1444018288373,190,121,74,1
655467.7416704657,7556849.7068584375,1395.786012916728,190,121,74,1
655443.9079572209,7556861.833790724,1398.087574010478,190,121,74,1
655419.1614099259,7556870.375058828,1400.230407550517,190,121,74,1
655396.1898719106,7556879.941758757,1399.6361585710251,190,121,74,1
655373.9657298669,7556889.244825565,1398.1401818132126,190,121,74,1
655349.9365852674,7556898.776013701,1397.3492043425092,190,121,74,1
655327.0428906442,7556906.718480582,1400.4669986361291,190,121,74,1
655304.7087016118,7556913.627380217,1405.4793815676767,190,121,74,1
655280.5445775654,7556918.515327607,1407.9033749382127,190,121,74,1
655255.7603069753,7556920.584594557,1408.16565177415,190,121,74,1
655230.2793450234,7556920.92626725,1406.8110616960248,190,121,74,1
655204.6663538836,7556920.848154645,1405.2095966569625,190,121,74,1
655178.7192412311,7556921.031044006,1403.6081122624314,190,121,74,1
655152.5964164181,7556922.327386352,1401.4258777233686,190,121,74,1
655126.4734969588,7556924.49492026,1398.7758612565713,190,121,74,1
655100.1390333425,7556927.211829735,1396.7507096257125,190,121,74,1
655074.0398773409,7556929.278310163,1395.931938512431,190,121,74,1
655047.2991828029,7556930.903619292,1395.475144918681,190,121,74,1
655020.6116432594,7556931.417980301,1329.7345373698531,190,121,74,1
654994.0456759678,7556931.078387098,1330.037850494853,190,121,74,1
654967.6716156242,7556930.226211011,1331.9195589518845,190,121,74,1
654941.323535226,7556929.29159728,1332.8412964128215,190,121,74,1
654915.3993461519,7556927.652353805,1332.8030338737592,190,121,74,1
654889.5227091976,7556925.978790727,1334.9763445964156,190,121,74,1
654863.366595206,7556924.588308428,1333.3311496940714,190,121,74,1
654837.4650625496,7556923.269622877,1332.434947653056,190,121,74,1
654811.5357293193,7556922.296034704,1330.9304161686812,190,121,74,1
654785.4714577869,7556921.239660399,1329.0336194157514,190,121,74,1
654759.1462943314,7556920.158451521,1327.0964129460249,190,121,74,1
654732.3712149968,7556918.938023143,1325.4815696257124,190,121,74,1
654705.4448808944,7556917.615110897,1324.0630148600874,190,121,74,1
654678.3115132394,7556916.186359405,1322.6368440983686,190,121,74,1
654651.2809169521,7556914.735997587,1330.753679196025,190,121,74,1
654624.2214142646,7556913.359093246,1330.6966087077435,190,121,74,1
654597.6033548997,7556911.390982341,1344.5482567822266,190,121,74,1
654571.9027244432,7556908.65427266,1343.0821904078778,190,121,74,1
654546.1323369243,7556905.913612854,1340.4219374955428,190,121,74,1
654520.2027973916,7556903.2011093125,1339.2713348185546,190,121,74,1
654494.4318905586,7556900.526503622,1339.0633884643555,190,121,74,1
654469.0111158447,7556897.788948644,1339.2709315775392,190,121,74,1
654443.5917844133,7556895.2015598975,1338.5333553092153,190,121,74,1
654418.3577722413,7556892.906517773,1338.9113482695313,190,121,74,1
654393.3340498304,7556890.895955083,1337.7159184308268,190,121,74,1
