FID,Id,ORIG_FID,typ,x,y
0,0,0,mark,5.8753800,-20.8850002
1,0,0,mark,6.7535801,-21.5389996
2,0,0,mark,7.6317801,-22.1928997
3,0,0,mark,8.5099802,-22.8469009
4,0,0,mark,9.3881798,-23.5009003
5,0,0,mark,10.2664003,-24.1548996
6,0,0,mark,11.1445999,-24.8087997
7,0,0,mark,12.0228004,-25.4627991
8,0,0,mark,12.9010000,-26.1168003
9,0,0,mark,13.7791996,-26.7707996
10,0,0,mark,14.6574001,-27.4246998
11,0,0,mark,15.5355997,-28.0786991
12,0,0,mark,16.4137993,-28.7327003
13,0,0,mark,17.2919998,-29.3866997
14,0,0,mark,18.1702003,-30.0407009
15,0,0,mark,19.0484009,-30.6945992
16,0,0,mark,19.9265995,-31.3486004
17,0,0,mark,20.8048000,-32.0026016
18,0,0,mark,21.6830006,-32.6566010
19,0,0,mark,22.5958004,-33.2608986
20,0,0,mark,23.5125999,-33.8596001
21,0,0,mark,24.4293003,-34.4583015
22,0,0,mark,25.3460999,-35.0569992
23,0,0,mark,26.2628994,-35.6557007
24,0,0,mark,27.1795998,-36.2543983
25,0,0,mark,28.0963993,-36.8530998
26,0,0,mark,29.0132008,-37.4519005
27,0,0,mark,29.9300003,-38.0505981
28,0,0,mark,30.8467007,-38.6492996
29,0,0,mark,31.7635002,-39.2480011
30,0,0,mark,32.6803017,-39.8466988
31,0,0,mark,33.5970001,-40.4454002
32,0,0,mark,34.5138016,-41.0441017
33,0,0,mark,35.4305992,-41.6427994
34,0,0,mark,36.3474007,-42.2415009
35,0,0,mark,37.2640991,-42.8401985
36,0,0,mark,38.1809006,-43.4389000
37,0,0,mark,39.0976982,-44.0376015
38,0,0,mark,39.8721008,-44.8047981
39,0,0,mark,40.6156998,-45.6086006
40,0,0,mark,41.3591995,-46.4123993
41,0,0,mark,42.1026993,-47.2162018
42,0,0,mark,42.8461990,-48.0200005
43,0,0,mark,43.5896988,-48.8237991
44,0,0,mark,44.3331985,-49.6276016
45,0,0,mark,45.0768013,-50.4314003
46,0,0,mark,45.8203011,-51.2351990
47,0,0,mark,46.5638008,-52.0390015
48,0,0,mark,47.3073006,-52.8428001
49,0,0,mark,48.0508003,-53.6465988
50,0,0,mark,48.7943001,-54.4504013
51,0,0,mark,49.5378990,-55.2542000
52,0,0,mark,50.2813988,-56.0581017
53,0,0,mark,51.0248985,-56.8619003
