FID,Id,ORIG_FID,Id_1,typ,x,y
0,0,0,0,mark,269.3399963,-149.5910034
1,0,0,0,mark,269.7600098,-148.5420074
2,0,0,0,mark,270.1799927,-147.4920044
3,0,0,0,mark,270.6000061,-146.4429932
4,0,0,0,mark,271.0190125,-145.3939972
5,0,0,0,mark,271.4389954,-144.3439941
6,0,0,0,mark,271.8590088,-143.2949982
7,0,0,0,mark,272.2789917,-142.2460022
8,0,0,0,mark,272.6979980,-141.1959991
9,0,0,0,mark,273.1180115,-140.1470032
10,0,0,0,mark,273.5379944,-139.0970001
11,0,0,0,mark,273.9580078,-138.0480042
12,0,0,0,mark,274.3779907,-136.9989929
13,0,0,0,mark,274.7969971,-135.9490051
14,0,0,0,mark,275.2170105,-134.8999939
15,0,0,0,mark,275.6369934,-133.8500061
16,0,0,0,mark,276.0570068,-132.8009949
17,0,0,0,mark,276.4760132,-131.7519989
18,0,0,0,mark,276.9049988,-130.7059937
19,0,0,0,mark,277.3349915,-129.6609955
20,0,0,0,mark,277.7659912,-128.6159973
21,0,0,0,mark,278.1960144,-127.5709991
22,0,0,0,mark,278.6260071,-126.5260010
23,0,0,0,mark,279.0570068,-125.4810028
24,0,0,0,mark,279.4869995,-124.4349976
25,0,0,0,mark,279.9169922,-123.3899994
26,0,0,0,mark,280.3479919,-122.3450012
27,0,0,0,mark,280.7780151,-121.3000031
28,0,0,0,mark,281.2080078,-120.2549973
29,0,0,0,mark,281.6390076,-119.2099991
30,0,0,0,mark,282.0690002,-118.1650009
31,0,0,0,mark,282.4989929,-117.1200027
32,0,0,0,mark,282.9299927,-116.0749969
33,0,0,0,mark,283.3750000,-115.0360031
34,0,0,0,mark,283.8450012,-114.0080032
35,0,0,0,mark,284.3150024,-112.9800034
36,0,0,0,mark,284.7850037,-111.9520035
37,0,0,0,mark,285.2550049,-110.9250031
38,0,0,0,mark,285.7250061,-109.8970032
39,0,0,0,mark,286.1940002,-108.8690033
40,0,0,0,mark,286.6640015,-107.8410034
41,0,0,0,mark,287.1340027,-106.8130035
42,0,0,0,mark,287.6040039,-105.7850037
43,0,0,0,mark,288.0740051,-104.7570038
44,0,0,0,mark,288.5440063,-103.7289963
45,0,0,0,mark,289.0140076,-102.7009964
46,0,0,0,mark,289.4840088,-101.6729965
