FID,Id,ORIG_FID,Id_1,typ,x,y
0,0,0,0,mark,0.1610340,-425.9159851
1,0,0,0,mark,0.8266830,-424.6950073
2,0,0,0,mark,1.4923300,-423.4750061
3,0,0,0,mark,2.1579800,-422.2550049
4,0,0,0,mark,2.8236301,-421.0339966
5,0,0,0,mark,3.4892800,-419.8139954
6,0,0,0,mark,4.1549301,-418.5929871
7,0,0,0,mark,4.8205800,-417.3729858
8,0,0,0,mark,5.4862299,-416.1530151
9,0,0,0,mark,6.1518798,-414.9320068
10,0,0,0,mark,6.8175302,-413.7120056
11,0,0,0,mark,7.4831800,-412.4920044
12,0,0,0,mark,8.1488304,-411.2709961
13,0,0,0,mark,8.8144798,-410.0509949
14,0,0,0,mark,9.4801302,-408.8309937
15,0,0,0,mark,10.1457996,-407.6099854
16,0,0,0,mark,10.8114004,-406.3900146
17,0,0,0,mark,11.4771004,-405.1700134
18,0,0,0,mark,12.1427002,-403.9490051
19,0,0,0,mark,12.8084002,-402.7290039
20,0,0,0,mark,13.4740000,-401.5079956
21,0,0,0,mark,14.1396999,-400.2879944
22,0,0,0,mark,14.8052998,-399.0679932
23,0,0,0,mark,15.4709997,-397.8469849
24,0,0,0,mark,16.1366005,-396.6270142
25,0,0,0,mark,16.7215004,-395.3739929
26,0,0,0,mark,17.0797005,-394.0310059
27,0,0,0,mark,17.4379005,-392.6879883
28,0,0,0,mark,17.7961006,-391.3450012
29,0,0,0,mark,18.1541996,-390.0020142
30,0,0,0,mark,18.5123997,-388.6589966
31,0,0,0,mark,18.8705997,-387.3150024
32,0,0,0,mark,19.2287998,-385.9719849
33,0,0,0,mark,19.5869007,-384.6289978
34,0,0,0,mark,19.9451008,-383.2860107
35,0,0,0,mark,20.3033009,-381.9429932
36,0,0,0,mark,20.6615009,-380.6000061
37,0,0,0,mark,21.0195999,-379.2569885
38,0,0,0,mark,21.3778000,-377.9129944
39,0,0,0,mark,21.7360001,-376.5700073
40,0,0,0,mark,22.0942001,-375.2269897
41,0,0,0,mark,22.4524002,-373.8840027
42,0,0,0,mark,22.8104992,-372.5409851
43,0,0,0,mark,23.1686993,-371.1979980
